EN,ASCII,Description,Compositional_strategy,Attribute,Label
kissy hug,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' represents 'kissy hug',Metaphorical,ACTION,1
dancing happily,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'dancing happily',Metaphorical,EMOTION,0
arrow right,-->,ASCII '-->' represents 'arrow right',Direct,OBJECT,1
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
snowman symbol,☯,ASCII '☯' does NOT represent 'snowman symbol',Single,OBJECT,0
pointing back,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'pointing back',Metaphorical,STATE,0
extreme laughter,------,ASCII '------' does NOT represent 'extreme laughter',Reduplication,OBJECT,0
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
neutral observation,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'neutral observation',Metaphorical,ACTION,0
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
laughing hard,XD,ASCII 'XD' represents 'laughing hard',Direct,EMOTION,1
percent signs,XXX X X,ASCII 'XXX X X' does NOT represent 'percent signs',Semantic List,OBJECT,0
ellipsis pattern,.. . ..,ASCII '.. . ..' represents 'ellipsis pattern',Semantic List,STATE,1
envelope symbol,☹,ASCII '☹' does NOT represent 'envelope symbol',Single,EMOTION,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
bar pattern,* * *,ASCII '* * *' does NOT represent 'bar pattern',Semantic List,OBJECT,0
music note,♦,ASCII '♦' does NOT represent 'music note',Single,OBJECT,0
surprised,>_<,ASCII '>_<' does NOT represent 'surprised',Direct,ACTION,0
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
putting on glasses,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'putting on glasses',Metaphorical,STATE,0
arrow up,OTL,ASCII 'OTL' does NOT represent 'arrow up',Direct,ACTION,0
do not know,(҂◡_◡),ASCII '(҂◡_◡)' does NOT represent 'do not know',Metaphorical,QUALITY,0
playful tongue,:-),ASCII ':-)' does NOT represent 'playful tongue',Direct,EMOTION,0
three stars,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'three stars',Semantic List,OBJECT,0
fading lines,### # #,ASCII '### # #' does NOT represent 'fading lines',Semantic List,OBJECT,0
happy eyes,^_^,ASCII '^_^' represents 'happy eyes',Direct,EMOTION,1
slash pattern,.. . ..,ASCII '.. . ..' does NOT represent 'slash pattern',Semantic List,STATE,0
putting on glasses,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'putting on glasses',Metaphorical,EMOTION,0
airplane symbol,✈,ASCII '✈' represents 'airplane symbol',Single,OBJECT,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
circle shape,(),ASCII '()' does NOT represent 'circle shape',Direct,OBJECT,0
dancing to music,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' represents 'dancing to music',Metaphorical,ACTION,1
putting on glasses,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'putting on glasses',Metaphorical,EMOTION,0
bracket types,[ ] { } ( ),ASCII '[ ] { } ( )' represents 'bracket types',Semantic List,OBJECT,1
very happy,o,ASCII 'o' does NOT represent 'very happy',Direct,OBJECT,0
annoyed expression,{},ASCII '{}' does NOT represent 'annoyed expression',Direct,OBJECT,0
playful tongue,:P,ASCII ':P' represents 'playful tongue',Direct,EMOTION,1
plus signs,+++,ASCII '+++' represents 'plus signs',Direct,OBJECT,1
pointing back,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'pointing back',Metaphorical,ACTION,0
wave pattern,~~~,ASCII '~~~' represents 'wave pattern',Direct,OBJECT,1
concerned look,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'concerned look',Metaphorical,EMOTION,0
long equals,<<<<<<,ASCII '<<<<<<' does NOT represent 'long equals',Reduplication,ACTION,0
person celebrating,\o_,ASCII '\o_' represents 'person celebrating',Direct,ACTION,1
praying hands,^,ASCII '^' does NOT represent 'praying hands',Direct,OBJECT,0
three stars,+++ + +,ASCII '+++ + +' does NOT represent 'three stars',Semantic List,ACTION,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
parentheses,(),ASCII '()' represents 'parentheses',Direct,OBJECT,1
tears of joy,ಥ_ಥ,ASCII 'ಥ_ಥ' represents 'tears of joy',Metaphorical,EMOTION,1
android smile,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'android smile',Metaphorical,EMOTION,0
extreme frustration,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' represents 'extreme frustration',Metaphorical,EMOTION,1
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
adding more,+++ + +,ASCII '+++ + +' represents 'adding more',Semantic List,ACTION,1
crying pattern,TT T TT,ASCII 'TT T TT' represents 'crying pattern',Semantic List,EMOTION,1
cross mark,✗,ASCII '✗' represents 'cross mark',Single,QUALITY,1
music note,✉,ASCII '✉' does NOT represent 'music note',Single,OBJECT,0
smiley face,☺,ASCII '☺' represents 'smiley face',Single,EMOTION,1
snowman symbol,♠,ASCII '♠' does NOT represent 'snowman symbol',Single,OBJECT,0
swaying dance,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'swaying dance',Metaphorical,ACTION,0
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
backslash pattern,\\ \ \\,ASCII '\\ \ \\' represents 'backslash pattern',Semantic List,OBJECT,1
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
equal signs,:-O,ASCII ':-O' does NOT represent 'equal signs',Direct,EMOTION,0
envelope symbol,✉,ASCII '✉' represents 'envelope symbol',Single,OBJECT,1
at symbols,-> --> --->,ASCII '-> --> --->' does NOT represent 'at symbols',Semantic List,ACTION,0
sly expression,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'sly expression',Metaphorical,STATE,0
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
up and down,XXX X X,ASCII 'XXX X X' does NOT represent 'up and down',Semantic List,OBJECT,0
broken heart,/o\,ASCII '/o\' does NOT represent 'broken heart',Direct,ACTION,0
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
arrow progression,:( :( :(,ASCII ':( :( :(' does NOT represent 'arrow progression',Semantic List,EMOTION,0
do not know,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' represents 'do not know',Metaphorical,STATE,1
arrow up,D:,ASCII 'D:' does NOT represent 'arrow up',Direct,EMOTION,0
showing strength,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' represents 'showing strength',Metaphorical,ACTION,1
flexing muscles,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' does NOT represent 'flexing muscles',Metaphorical,QUALITY,0
back and forth,*** ** *,ASCII '*** ** *' does NOT represent 'back and forth',Semantic List,OBJECT,0
sly expression,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'sly expression',Metaphorical,STATE,0
parentheses,(),ASCII '()' represents 'parentheses',Direct,OBJECT,1
pointing back,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'pointing back',Metaphorical,EMOTION,0
do not know,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'do not know',Metaphorical,ACTION,0
bowing down,:-(,ASCII ':-(' does NOT represent 'bowing down',Direct,EMOTION,0
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
on the floor,:D,ASCII ':D' does NOT represent 'on the floor',Direct,EMOTION,0
star struck,;),ASCII ';)' does NOT represent 'star struck',Direct,EMOTION,0
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
percent signs,<3 <3 <3,ASCII '<3 <3 <3' does NOT represent 'percent signs',Semantic List,EMOTION,0
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
back and forth,+++ + +,ASCII '+++ + +' does NOT represent 'back and forth',Semantic List,ACTION,0
neutral expression,:-|,ASCII ':-|' represents 'neutral expression',Direct,EMOTION,1
hash pattern,###,ASCII '###' represents 'hash pattern',Direct,OBJECT,1
tears of joy,(◕‿◕✿),ASCII '(◕‿◕✿)' does NOT represent 'tears of joy',Metaphorical,QUALITY,0
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
squinting eyes,>_<,ASCII '>_<' represents 'squinting eyes',Direct,ACTION,1
putting on glasses,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' represents 'putting on glasses',Metaphorical,ACTION,1
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
energetic dance,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'energetic dance',Metaphorical,ACTION,0
do not know,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'do not know',Metaphorical,EMOTION,0
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
showing strength,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' represents 'showing strength',Metaphorical,ACTION,1
music note,♪,ASCII '♪' represents 'music note',Single,OBJECT,1
kissy hug,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'kissy hug',Metaphorical,ACTION,0
surprised,:-O,ASCII ':-O' represents 'surprised',Direct,EMOTION,1
love struck,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'love struck',Metaphorical,ACTION,0
finger guns,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'finger guns',Metaphorical,EMOTION,0
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
wide eyed,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'wide eyed',Metaphorical,EMOTION,0
hashtag emphasis,### # #,ASCII '### # #' represents 'hashtag emphasis',Semantic List,OBJECT,1
bowing down,orz,ASCII 'orz' represents 'bowing down',Direct,ACTION,1
up and down,>>> <<<,ASCII '>>> <<<' does NOT represent 'up and down',Semantic List,ACTION,0
hashtag emphasis,&&& & &,ASCII '&&& & &' does NOT represent 'hashtag emphasis',Semantic List,OBJECT,0
offering hug,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'offering hug',Metaphorical,ACTION,0
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
carefree joy,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'carefree joy',Metaphorical,ACTION,0
putting on glasses,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' represents 'putting on glasses',Metaphorical,ACTION,1
dancing to music,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' does NOT represent 'dancing to music',Metaphorical,EMOTION,0
raising hand,>_<,ASCII '>_<' does NOT represent 'raising hand',Direct,ACTION,0
dancing to music,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'dancing to music',Metaphorical,EMOTION,0
star symbol,*,ASCII '*' represents 'star symbol',Direct,OBJECT,1
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
ellipsis pattern,%%% % %,ASCII '%%% % %' does NOT represent 'ellipsis pattern',Semantic List,OBJECT,0
hash pattern,>:(,ASCII '>:(' does NOT represent 'hash pattern',Direct,EMOTION,0
cool attitude,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' does NOT represent 'cool attitude',Metaphorical,ACTION,0
cross mark,✗,ASCII '✗' represents 'cross mark',Single,QUALITY,1
airplane symbol,☯,ASCII '☯' does NOT represent 'airplane symbol',Single,OBJECT,0
gentle smile,(✿◠‿◠),ASCII '(✿◠‿◠)' represents 'gentle smile',Metaphorical,EMOTION,1
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
crying pattern,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'crying pattern',Semantic List,ACTION,0
putting on glasses,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' represents 'putting on glasses',Metaphorical,ACTION,1
flexing muscles,(҂◡_◡),ASCII '(҂◡_◡)' does NOT represent 'flexing muscles',Metaphorical,QUALITY,0
happy eyes,^_^,ASCII '^_^' represents 'happy eyes',Direct,EMOTION,1
horizontal line,+++,ASCII '+++' does NOT represent 'horizontal line',Direct,OBJECT,0
sly expression,ಥ_ಥ,ASCII 'ಥ_ಥ' does NOT represent 'sly expression',Metaphorical,EMOTION,0
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
flexing muscles,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' represents 'flexing muscles',Metaphorical,ACTION,1
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
on the floor,<--,ASCII '<--' does NOT represent 'on the floor',Direct,OBJECT,0
arrow down,[],ASCII '[]' does NOT represent 'arrow down',Direct,OBJECT,0
equal signs,<>,ASCII '<>' does NOT represent 'equal signs',Direct,OBJECT,0
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
raising hand,\o/,ASCII '\o/' does NOT represent 'raising hand',Direct,ACTION,0
long equals,======,ASCII '======' represents 'long equals',Reduplication,OBJECT,1
crying sadly,(•_•),ASCII '(•_•)' does NOT represent 'crying sadly',Metaphorical,STATE,0
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
dancing happily,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'dancing happily',Metaphorical,ACTION,0
growing confusion,~~ ~ ~~,ASCII '~~ ~ ~~' does NOT represent 'growing confusion',Semantic List,OBJECT,0
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
extreme frustration,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' represents 'extreme frustration',Metaphorical,EMOTION,1
neutral observation,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'neutral observation',Metaphorical,ACTION,0
multiple hearts,%%% % %,ASCII '%%% % %' does NOT represent 'multiple hearts',Semantic List,OBJECT,0
flower girl,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'flower girl',Metaphorical,EMOTION,0
disapproval stare,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'disapproval stare',Metaphorical,QUALITY,0
laughing sound,......,ASCII '......' does NOT represent 'laughing sound',Reduplication,STATE,0
arrow progression,&&& & &,ASCII '&&& & &' does NOT represent 'arrow progression',Semantic List,OBJECT,0
long line,------,ASCII '------' represents 'long line',Reduplication,OBJECT,1
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
group smiling,=) =) =),ASCII '=) =) =)' represents 'group smiling',Semantic List,EMOTION,1
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
diamond suit,♦,ASCII '♦' represents 'diamond suit',Single,OBJECT,1
asterisk pattern,T_T,ASCII 'T_T' does NOT represent 'asterisk pattern',Direct,EMOTION,0
love struck,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'love struck',Metaphorical,ACTION,0
squinting eyes,>_<,ASCII '>_<' represents 'squinting eyes',Direct,ACTION,1
dancing happily,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'dancing happily',Metaphorical,EMOTION,0
dancing to music,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'dancing to music',Metaphorical,ACTION,0
pure happiness,(҂◡_◡),ASCII '(҂◡_◡)' does NOT represent 'pure happiness',Metaphorical,QUALITY,0
dancing to music,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' represents 'dancing to music',Metaphorical,ACTION,1
many pluses,++++++,ASCII '++++++' represents 'many pluses',Reduplication,OBJECT,1
star struck,_/\_,ASCII '_/\_' does NOT represent 'star struck',Direct,ACTION,0
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
star pattern,--- - -,ASCII '--- - -' does NOT represent 'star pattern',Semantic List,OBJECT,0
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
many percents,^^^^^^,ASCII '^^^^^^' does NOT represent 'many percents',Reduplication,ACTION,0
flexing muscles,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' represents 'flexing muscles',Metaphorical,ACTION,1
hash pattern,orz,ASCII 'orz' does NOT represent 'hash pattern',Direct,ACTION,0
x marks,XXX X X,ASCII 'XXX X X' represents 'x marks',Semantic List,OBJECT,1
extreme laughter,!!!!!,ASCII '!!!!!' does NOT represent 'extreme laughter',Reduplication,EMOTION,0
joyful celebration,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' does NOT represent 'joyful celebration',Metaphorical,EMOTION,0
crying sadly,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'crying sadly',Metaphorical,ACTION,0
offering hug,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'offering hug',Metaphorical,EMOTION,0
snowman symbol,☂,ASCII '☂' does NOT represent 'snowman symbol',Single,OBJECT,0
club suit,♣,ASCII '♣' represents 'club suit',Single,OBJECT,1
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
intense anger,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'intense anger',Metaphorical,ACTION,0
increasing excitement,&&& & &,ASCII '&&& & &' does NOT represent 'increasing excitement',Semantic List,OBJECT,0
three stars,&&& & &,ASCII '&&& & &' does NOT represent 'three stars',Semantic List,OBJECT,0
pointing back,(•_•),ASCII '(•_•)' does NOT represent 'pointing back',Metaphorical,STATE,0
neutral observation,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'neutral observation',Metaphorical,ACTION,0
frowning,/o\,ASCII '/o\' does NOT represent 'frowning',Direct,ACTION,0
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
growing confusion,^^^ vvv,ASCII '^^^ vvv' does NOT represent 'growing confusion',Semantic List,ACTION,0
cute smile,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'cute smile',Metaphorical,ACTION,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
offering hug,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' represents 'offering hug',Metaphorical,ACTION,1
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
frowning,:-(,ASCII ':-(' represents 'frowning',Direct,EMOTION,1
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
winking,;),ASCII ';)' represents 'winking',Direct,EMOTION,1
dots pattern,...,ASCII '...' represents 'dots pattern',Direct,OBJECT,1
ampersands,&&& & &,ASCII '&&& & &' represents 'ampersands',Semantic List,OBJECT,1
concerned look,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'concerned look',Metaphorical,ACTION,0
slash pattern,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'slash pattern',Semantic List,OBJECT,0
sad face,:(,ASCII ':(' represents 'sad face',Direct,EMOTION,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
shock and confusion,*** ** *,ASCII '*** ** *' does NOT represent 'shock and confusion',Semantic List,OBJECT,0
extreme emphasis,!!!!!,ASCII '!!!!!' represents 'extreme emphasis',Reduplication,EMOTION,1
broken heart,</3,ASCII '</3' represents 'broken heart',Direct,OBJECT,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
money symbols,$$$ $ $,ASCII '$$$ $ $' represents 'money symbols',Semantic List,OBJECT,1
long pause,~~~~~~,ASCII '~~~~~~' does NOT represent 'long pause',Reduplication,OBJECT,0
gentle smile,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'gentle smile',Metaphorical,ACTION,0
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
many stars,******,ASCII '******' represents 'many stars',Reduplication,OBJECT,1
equal signs,[],ASCII '[]' does NOT represent 'equal signs',Direct,OBJECT,0
reverse arrows,<- <-- <---,ASCII '<- <-- <---' represents 'reverse arrows',Semantic List,ACTION,1
arrow left,<--,ASCII '<--' represents 'arrow left',Direct,OBJECT,1
bar pattern,|| | ||,ASCII '|| | ||' represents 'bar pattern',Semantic List,OBJECT,1
multiple hearts,^^^ vvv,ASCII '^^^ vvv' does NOT represent 'multiple hearts',Semantic List,ACTION,0
dots pattern,o,ASCII 'o' does NOT represent 'dots pattern',Direct,OBJECT,0
gentle smile,(✿◠‿◠),ASCII '(✿◠‿◠)' represents 'gentle smile',Metaphorical,EMOTION,1
praying hands,_o/,ASCII '_o/' does NOT represent 'praying hands',Direct,ACTION,0
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
happy eyes,\o/,ASCII '\o/' does NOT represent 'happy eyes',Direct,ACTION,0
concerned look,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' does NOT represent 'concerned look',Metaphorical,EMOTION,0
box shape,>:(,ASCII '>:(' does NOT represent 'box shape',Direct,EMOTION,0
star pattern,*** ** *,ASCII '*** ** *' represents 'star pattern',Semantic List,OBJECT,1
neutral expression,:-|,ASCII ':-|' represents 'neutral expression',Direct,EMOTION,1
bar pattern,--- - -,ASCII '--- - -' does NOT represent 'bar pattern',Semantic List,OBJECT,0
finger guns,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'finger guns',Metaphorical,EMOTION,0
diamond shape,<>,ASCII '<>' represents 'diamond shape',Direct,OBJECT,1
strong right,>>>>>>,ASCII '>>>>>>' represents 'strong right',Reduplication,ACTION,1
joyful celebration,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'joyful celebration',Metaphorical,ACTION,0
sad symbol,☹,ASCII '☹' represents 'sad symbol',Single,EMOTION,1
very upset,D:,ASCII 'D:' represents 'very upset',Direct,EMOTION,1
arrow left,<--,ASCII '<--' represents 'arrow left',Direct,OBJECT,1
dancing to music,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' does NOT represent 'dancing to music',Metaphorical,ACTION,0
reverse arrows,<- <-- <---,ASCII '<- <-- <---' represents 'reverse arrows',Semantic List,ACTION,1
gentle grasp,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'gentle grasp',Metaphorical,ACTION,0
box shape,*_*,ASCII '*_*' does NOT represent 'box shape',Direct,EMOTION,0
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
wide eyed,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'wide eyed',Metaphorical,ACTION,0
gentle smile,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' does NOT represent 'gentle smile',Metaphorical,EMOTION,0
pure happiness,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'pure happiness',Metaphorical,EMOTION,0
smiley face,☺,ASCII '☺' represents 'smiley face',Single,EMOTION,1
adding more,%%% % %,ASCII '%%% % %' does NOT represent 'adding more',Semantic List,OBJECT,0
bowing down,orz,ASCII 'orz' represents 'bowing down',Direct,ACTION,1
hands on head,(),ASCII '()' does NOT represent 'hands on head',Direct,OBJECT,0
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
gentle smile,(✿◠‿◠),ASCII '(✿◠‿◠)' represents 'gentle smile',Metaphorical,EMOTION,1
do not know,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' represents 'do not know',Metaphorical,STATE,1
kissy hug,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'kissy hug',Metaphorical,ACTION,0
swaying dance,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'swaying dance',Metaphorical,ACTION,0
adding more,^^^ vvv,ASCII '^^^ vvv' does NOT represent 'adding more',Semantic List,ACTION,0
disapproval stare,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'disapproval stare',Metaphorical,QUALITY,0
